brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
81382.0,for_sale,399900.0,1.0,1.0,0.04,946861.0,Davis,California,95616.0,712.0,2000-05-23
78624.0,for_sale,568000.0,4.0,2.0,0.04,993378.0,Davis,California,95616.0,1568.0,2001-06-15
31168.0,for_sale,629000.0,3.0,2.0,0.08,865523.0,Davis,California,95616.0,1062.0,2013-05-13
22935.0,for_sale,975000.0,4.0,2.0,0.24,362543.0,Davis,California,95616.0,1985.0,1984-09-06
10710.0,for_sale,419000.0,1.0,1.0,0.02,963744.0,Davis,California,95616.0,896.0,2014-04-29
78624.0,for_sale,1250000.0,4.0,3.0,0.23,1476160.0,Davis,California,95616.0,2170.0,2014-07-31
58722.0,for_sale,175000.0,3.0,2.0,0.14,763964.0,Davis,California,95618.0,1040.0,2022-04-30
22935.0,for_sale,789000.0,3.0,3.0,0.06,1059122.0,Davis,California,95618.0,1739.0,2012-09-06
22935.0,for_sale,149000.0,2.0,1.0,0.14,1406874.0,Davis,California,95618.0,672.0,
81382.0,for_sale,689000.0,3.0,3.0,0.06,1195135.0,Davis,California,95618.0,1479.0,2012-04-19
,for_sale,199000.0,2.0,2.0,0.14,289317.0,Davis,California,95618.0,1056.0,
84534.0,for_sale,462900.0,2.0,2.0,0.04,1330512.0,Davis,California,95618.0,1201.0,2000-07-27
78624.0,for_sale,1000000.0,7.0,3.0,0.18,1231212.0,Davis,California,95618.0,3703.0,
78624.0,for_sale,480000.0,2.0,2.0,0.07,1155065.0,Davis,California,95618.0,1154.0,
47547.0,for_sale,168500.0,2.0,2.0,0.14,321561.0,Davis,California,95618.0,840.0,
33461.0,for_sale,834900.0,3.0,2.0,0.18,1241893.0,Davis,California,95618.0,1950.0,2004-11-18
59831.0,for_sale,1120000.0,4.0,3.0,0.14,134931.0,Davis,California,95618.0,2220.0,1997-07-28
22935.0,for_sale,585000.0,2.0,2.0,0.09,659896.0,Davis,California,95618.0,1056.0,2021-06-04
81361.0,for_sale,1649000.0,5.0,4.0,0.22,616459.0,Davis,California,95618.0,3879.0,2016-09-23
22935.0,for_sale,750000.0,2.0,3.0,0.08,998119.0,Davis,California,95618.0,1380.0,2003-07-25
33461.0,for_sale,709900.0,3.0,2.0,0.16,829108.0,Davis,California,95618.0,1490.0,2019-06-25
78624.0,for_sale,650000.0,3.0,2.0,0.1,1095466.0,Davis,California,95618.0,1155.0,2005-06-27
22611.0,for_sale,3495000.0,3.0,2.0,153.75,1240501.0,Davis,California,95618.0,1611.5,
81361.0,for_sale,1100000.0,4.0,3.0,0.21,623570.0,Davis,California,95618.0,2596.0,2016-05-31
84534.0,for_sale,1699000.0,5.0,3.0,0.2,566940.0,Davis,California,95618.0,3948.0,2014-05-29
22935.0,for_sale,1575000.0,4.0,3.0,0.27,1345819.0,Davis,California,95618.0,3493.0,2002-05-03
81361.0,for_sale,1450000.0,5.0,3.0,0.25,502539.0,Davis,California,95618.0,3165.0,2016-09-16
81361.0,for_sale,1425000.0,5.0,4.0,0.2,1110617.0,Davis,California,95618.0,3210.0,2001-10-12
81361.0,for_sale,1150000.0,3.0,2.0,0.73,1217492.0,Davis,California,95618.0,2673.0,2015-09-23
78624.0,for_sale,838000.0,4.0,2.0,0.17,1181273.0,Davis,California,95618.0,1756.0,2017-10-12
10710.0,for_sale,775000.0,3.0,3.0,0.05,1092450.0,Davis,California,95618.0,1794.0,2013-05-31
109978.0,for_sale,858888.0,3.0,3.0,0.05,998711.0,Davis,California,95618.0,1861.0,2018-04-23
299.0,for_sale,1550000.0,5.0,5.0,0.21,1200517.0,Davis,California,95618.0,2930.0,2006-06-01
78624.0,for_sale,2999999.0,4.0,2.0,2.87,161161.0,Davis,California,95618.0,3680.0,
22935.0,for_sale,749000.0,3.0,2.0,0.21,348207.0,Davis,California,95616.0,1338.0,2015-04-21
71239.0,for_sale,855000.0,3.0,2.0,0.08,628527.0,Davis,California,95616.0,1935.0,2022-01-11
81382.0,for_sale,605000.0,3.0,1.0,0.13,287997.0,Davis,California,95616.0,925.0,1998-06-29
59831.0,for_sale,439000.0,2.0,1.0,0.03,489634.0,Davis,California,95616.0,804.0,2019-10-07
59839.0,for_sale,750000.0,3.0,3.0,0.08,746309.0,Davis,California,95616.0,1616.0,2014-09-30
78624.0,for_sale,1298000.0,4.0,3.0,0.08,30859.0,Davis,California,95616.0,2635.0,2017-02-24
59831.0,for_sale,1275000.0,3.0,3.0,0.22,1016072.0,Davis,California,95616.0,2613.0,1985-09-05
99325.0,for_sale,649882.0,2.0,2.0,0.14,471159.0,Davis,California,95616.0,1431.0,
81382.0,for_sale,629000.0,2.0,2.0,0.03,1772791.0,Davis,California,95616.0,1456.0,1998-08-27
