price,bed,bath,acre_lot,house_size
399900.0,1.0,1.0,0.04,712.0
568000.0,4.0,2.0,0.04,1568.0
629000.0,3.0,2.0,0.08,1062.0
975000.0,4.0,2.0,0.24,1985.0
419000.0,1.0,1.0,0.02,896.0
1250000.0,4.0,3.0,0.23,2170.0
175000.0,3.0,2.0,0.14,1040.0
789000.0,3.0,3.0,0.06,1739.0
149000.0,2.0,1.0,0.14,672.0
689000.0,3.0,3.0,0.06,1479.0
199000.0,2.0,2.0,0.14,1056.0
462900.0,2.0,2.0,0.04,1201.0
1000000.0,7.0,3.0,0.18,3703.0
480000.0,2.0,2.0,0.07,1154.0
168500.0,2.0,2.0,0.14,840.0
834900.0,3.0,2.0,0.18,1950.0
1120000.0,4.0,3.0,0.14,2220.0
585000.0,2.0,2.0,0.09,1056.0
1649000.0,5.0,4.0,0.22,3879.0
750000.0,2.0,3.0,0.08,1380.0
709900.0,3.0,2.0,0.16,1490.0
650000.0,3.0,2.0,0.1,1155.0
3495000.0,3.0,2.0,153.75,1611.5
1100000.0,4.0,3.0,0.21,2596.0
1699000.0,5.0,3.0,0.2,3948.0
1575000.0,4.0,3.0,0.27,3493.0
1450000.0,5.0,3.0,0.25,3165.0
1425000.0,5.0,4.0,0.2,3210.0
1150000.0,3.0,2.0,0.73,2673.0
838000.0,4.0,2.0,0.17,1756.0
775000.0,3.0,3.0,0.05,1794.0
858888.0,3.0,3.0,0.05,1861.0
1550000.0,5.0,5.0,0.21,2930.0
2999999.0,4.0,2.0,2.87,3680.0
749000.0,3.0,2.0,0.21,1338.0
855000.0,3.0,2.0,0.08,1935.0
605000.0,3.0,1.0,0.13,925.0
439000.0,2.0,1.0,0.03,804.0
750000.0,3.0,3.0,0.08,1616.0
1298000.0,4.0,3.0,0.08,2635.0
1275000.0,3.0,3.0,0.22,2613.0
649882.0,2.0,2.0,0.14,1431.0
629000.0,2.0,2.0,0.03,1456.0
899000.0,3.0,3.0,0.14,1858.0
1499000.0,5.0,4.0,0.11,3105.0
1090000.0,4.0,3.0,0.06,2141.0
1199000.0,4.0,4.0,0.2,2301.0
640000.0,3.0,2.0,0.07,1305.0
1875000.0,3.0,3.0,0.25,1725.0
895000.0,4.0,2.0,0.2,1912.0
1075000.0,4.0,2.0,0.19,2187.0
979900.0,4.0,2.0,0.19,1760.0
1795000.0,4.0,2.0,0.32,1832.0
1125000.0,4.0,2.0,0.18,2119.0
849999.0,3.0,2.0,0.14,1234.0
1850000.0,5.0,2.0,0.16,1919.0
489000.0,3.0,2.0,0.02,1200.0
899000.0,4.0,2.0,0.18,1700.0
448000.0,2.0,2.0,0.02,1120.0
959000.0,5.0,3.0,0.16,2143.0
653000.0,2.0,2.0,0.14,1431.0
776889.0,3.0,3.0,0.14,1995.0
1450000.0,3.0,2.0,7.04,1611.5
490000.0,2.0,1.0,0.15,857.0
750000.0,3.0,2.0,0.07,2075.0
979000.0,4.0,3.0,0.18,2178.0
699000.0,2.0,2.0,0.09,1124.0
1350000.0,4.0,2.0,20.0,2288.0
489000.0,2.0,2.0,0.02,1168.0
1090000.0,5.0,2.0,0.22,2499.0
899000.0,4.0,2.0,0.19,1715.0
2499000.0,4.0,4.0,5.0,4000.0
798500.0,3.0,2.0,0.08,2075.0
568000.0,4.0,2.0,0.04,1568.0
399900.0,1.0,1.0,0.04,712.0
1000000.0,3.0,2.0,0.2,2044.0
1075000.0,4.0,2.0,0.17,2016.0
899000.0,3.0,3.0,0.14,1858.0
653000.0,2.0,2.0,0.14,1431.0
895000.0,4.0,2.0,0.2,1912.0
1125000.0,4.0,2.0,0.18,2119.0
1090000.0,4.0,3.0,0.06,2141.0
750000.0,3.0,3.0,0.08,1616.0
605000.0,3.0,1.0,0.13,925.0
1075000.0,4.0,2.0,0.19,2187.0
1298000.0,4.0,3.0,0.08,2635.0
640000.0,3.0,2.0,0.07,1305.0
1275000.0,3.0,3.0,0.22,2613.0
1649000.0,5.0,4.0,0.22,3879.0
480000.0,2.0,2.0,0.07,1154.0
650000.0,3.0,2.0,0.1,1155.0
585000.0,2.0,2.0,0.09,1056.0
199000.0,2.0,2.0,0.14,1056.0
689000.0,3.0,3.0,0.06,1479.0
1120000.0,4.0,3.0,0.14,2220.0
775000.0,3.0,3.0,0.05,1794.0
685000.0,3.0,2.0,0.1,1258.0
899000.0,4.0,3.0,0.12,1739.0
1030000.0,4.0,3.0,0.22,1928.0
925000.0,4.0,2.0,0.17,1944.0
373473.0,2.0,2.0,0.03,954.0
615000.0,3.0,3.0,0.04,1343.0
329000.0,2.0,1.0,0.02,819.0
745000.0,3.0,3.0,0.07,1783.0
485000.0,2.0,1.0,0.09,946.0
629000.0,1.0,1.0,0.14,693.0
788000.0,3.0,2.0,0.21,1607.0
798000.0,3.0,3.0,0.13,1775.0
559000.0,2.0,1.0,0.08,900.0
699900.0,3.0,2.0,0.13,1501.0
764000.0,3.0,3.0,0.14,1995.0
680000.0,2.0,2.0,0.16,1582.0
489000.0,2.0,1.0,0.12,882.0
725000.0,5.0,2.0,0.09,1710.0
